fixed 5% (baseline),fixed 8%,adaptive k=4,adaptive ramp-only,adaptive ease-only
156.8048714837258,85.69630571700999,160.9528749318212,152.93633349232826,163.832586930906
111.28834670519812,103.38653811259331,124.16982852230504,112.4091308561313,123.21216405455229
267.8562273167604,182.96001810442556,284.67165802497766,260.3063256647117,292.271141543355
289.5311460250669,195.95431584260092,300.794492034194,246.12752205594987,313.3553288476314
186.18304220107373,126.14254227702527,186.20279348598382,181.89455064589075,188.17412351797094
255.49886350361643,222.6869372394226,283.78217056023914,272.1638950053953,296.438837103122
195.09066837820384,81.9141155177359,222.40656854120476,176.52747916070587,247.96669353762337
186.13842586118372,159.78368166453504,209.32701149084195,185.96985958465325,207.43450228198495
262.9753728868941,215.28929092663392,285.55647317086596,251.38230615449197,303.9371912744198
232.7003342479696,184.39034644275986,228.55292361562132,217.64487731617075,232.85142625317584
214.79228853384672,149.2016588660544,212.29181570734497,210.01566893797852,212.71406314298724
148.41903213500743,133.1205482116647,151.08570447018363,151.4345300806602,155.84978594948447
235.32942666294784,195.82237838690008,285.3057520082824,242.29045637874952,275.2677672184212
176.79888724291933,157.8208296366149,185.99810619764284,175.1672748303978,191.0064041089694
173.1759008927967,139.4257898444902,207.47241571561221,175.86056308485837,205.25080465357843
165.82604180975113,155.27680359406787,166.2558531796596,149.12337418777776,166.80952666396658
78.49301206919122,72.43545730570952,103.08551211696755,76.55986147859872,105.0674558996008
175.73074714240119,131.21253703877093,176.19860301849252,172.94240046968255,174.9870325839913
207.90964176767832,184.36079671275488,220.77678635063697,204.94744655762491,224.74841395874728
177.17335669761394,139.3355326696835,180.25104468443513,178.2020298931344,178.73127868004647
237.8959887269085,193.38375474371304,241.74556421453718,235.12999186348918,245.11620866862737
175.56740215501765,131.02340254594498,192.1925661587629,175.63551103808743,191.4768585204776
182.29517145605317,127.03622882163963,200.8422475096883,179.8653003432767,202.65544183137632
240.3013778714919,197.32291003115267,249.0707340744716,238.57696879977658,250.4143046814581
177.97917355750494,147.9810453348547,200.85584330415094,178.78330358321716,199.5627722261168
199.0221679217821,169.1135552561475,229.18818782592197,205.93553664986834,222.43912521410772
145.4454357531993,130.68301542525822,152.78685914570858,142.32451829399974,155.41508743530602
156.47522744876497,136.47133667918675,182.9534267404456,155.8919324247209,185.0329116405586
239.361926105586,202.12532287044615,243.92660468296134,236.66801919904432,247.1410392953988
133.54174212884197,116.08598200872444,150.33095104660734,132.0933549698255,153.18118493146793
171.41107825625744,120.44776083787934,184.54917706077154,173.12292039340934,185.02253225489397
209.03329673328096,171.07707389954837,233.998713268173,202.55405494317878,239.54138342456412
236.2912747079413,209.3023249365029,242.19156791552305,211.93869962049928,243.7066325479382
281.21800548897664,198.64469401092805,301.6078746205861,272.00228916867115,312.82558004583547
